State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
4,0,17,IL,ILLINOIS,3674,6518,207347
4,0,8,CO,COLORADO,3672,6961,157065
4,0,32,NV,NEVADA,3272,6526,118943
4,0,35,NM,NEW MEXICO,3239,6802,109747
4,0,26,MI,MICHIGAN,3067,5445,119341
4,0,12,FL,FLORIDA,2978,5305,129546
4,0,36,NY,NEW YORK,2589,4509,121226
4,0,39,OH,OHIO,2366,4132,116366
4,0,49,UT,UTAH,2263,5229,89291
4,0,41,OR,OREGON,2108,3762,77378
4,0,27,MN,MINNESOTA,1803,3082,94852
4,0,42,PA,PENNSYLVANIA,1710,2981,90647
4,0,55,WI,WISCONSIN,1692,2938,97104
4,0,57,FR,Foreign,1688,3603,73192
4,0,18,IN,INDIANA,1505,2856,67179
4,0,37,NC,NORTH CAROLINA,1443,2941,59939
4,0,29,MO,MISSOURI,1411,2632,61583
4,0,51,VA,VIRGINIA,1323,2487,80275
4,0,13,GA,GEORGIA,1289,2699,57759
4,0,34,NJ,NEW JERSEY,1050,1911,67195
4,0,19,IA,IOWA,1013,1867,46456
4,0,16,ID,IDAHO,971,2151,34212
4,0,20,KS,KANSAS,923,1810,41993
4,0,47,TN,TENNESSEE,889,1707,40636
4,0,25,MA,MASSACHUSETTS,866,1403,32911
4,0,40,OK,OKLAHOMA,855,1740,22114
4,0,15,HI,HAWAII,742,1411,28236
4,0,31,NE,NEBRASKA,720,1291,30050
4,0,24,MD,MARYLAND,687,1314,47009
4,0,30,MT,MONTANA,630,1089,20084
4,0,2,AK,ALASKA,626,1233,31419
4,0,21,KY,KENTUCKY,536,1079,25983
4,0,46,SD,SOUTH DAKOTA,504,876,20666
4,0,9,CT,CONNECTICUT,503,904,30018
4,0,45,SC,SOUTH CAROLINA,493,931,19065
4,0,56,WY,WYOMING,479,878,18405
4,0,5,AR,ARKANSAS,464,896,15455
4,0,1,AL,ALABAMA,452,887,20510
4,0,22,LA,LOUISIANA,431,841,19597
4,0,38,ND,NORTH DAKOTA,333,570,13098
4,0,33,NH,NEW HAMPSHIRE,315,558,16365
4,0,28,MS,MISSISSIPPI,301,578,11795
4,0,23,ME,MAINE,258,425,11898
4,0,50,VT,VERMONT,145,236,5166
4,0,44,RI,RHODE ISLAND,142,224,6460
4,0,54,WV,WEST VIRGINIA,126,220,4507
